fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 224935	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	103	TRUE	363373	0.234910452757755	0.279464970783771	7388	23	14522	36506000	60
20221002 225002	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	115	TRUE	363373	0.122134729800423	0.787592741929635	6890	1024	14997	36506000	61
20221002 225014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	15	TRUE	363373	0.296948169415897	0.994748133837704	5109	1009	14986	36461000	62
20221002 225026	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	34	TRUE	363373	0.290265486703482	0.717485165172978	7919	832	14994	36281000	63
20221002 225044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	85	TRUE	363373	0.179361698757614	0.793678086285677	7474	739	13692	36174000	64
20221002 225100	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	43	TRUE	363373	0.238619464252653	0.468545345910278	7001	365	14998	35721000	65
20221002 225139	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	254	TRUE	363373	0.12675696381144	0.200429213267414	7995	37	13396	35835000	66
20221002 225159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	104	TRUE	363373	0.299980927494226	0.942651305409463	6296	1022	14506	36219000	67
20221002 225234	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	212	TRUE	363373	0.106005419930753	0.852251994943685	4904	1021	13830	36040000	68
20221002 225305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	188	TRUE	363373	0.158727295606455	0.201294997324525	7178	959	14502	36373000	69
20221002 225319	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	56	TRUE	363373	0.299824895664596	0.228061052910299	7418	717	13075	36323000	70
20221002 225333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	30	TRUE	363373	0.25616076147392	0.959240020110782	3748	909	14993	35888000	71
20221002 225350	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	42	TRUE	363373	0.100741339321459	0.999261901053252	5055	92	14996	36130000	72
20221002 225424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	70	TRUE	363373	0.299478174690178	0.51632205836965	953	556	14985	34113000	73
20221002 225448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	50	TRUE	363373	0.100746318518644	0.999597134673914	1918	651	12977	36516000	74
20221002 225514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	50	TRUE	363373	0.101705328171713	0.638928536887967	1800	357	14547	36892000	75
20221002 225531	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	24	TRUE	363373	0.123205829303593	0.998791564388586	2378	679	14862	36272000	76
20221002 225545	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	39	TRUE	363373	0.239633788146719	0.201211172306302	4941	109	14997	35810000	77
20221002 225620	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	103	TRUE	363373	0.100306449275334	0.396761915694903	2434	337	12779	37107000	78
20221002 225656	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	197	TRUE	363373	0.100295526733461	0.200135769960313	3948	209	13371	36650000	79
20221002 225715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	42	TRUE	363373	0.11060052749818	0.999258166806734	3175	505	11791	35579000	80
20221002 225733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	48	TRUE	363373	0.178729651184805	0.852351216246038	2446	239	14626	36264000	81
20221002 225750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	65	TRUE	363373	0.124285893494214	0.783490664223139	7998	219	14989	36198000	82
20221002 225815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	62	TRUE	363373	0.10018211755959	0.823891347668459	1995	632	12361	36186000	83
20221002 225849	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	149	TRUE	363373	0.100127041512234	0.31339163390573	4271	849	12594	36335000	84
20221002 225900	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	13	TRUE	363373	0.298804325190973	0.998950864123323	1906	40	11949	35459000	85
20221002 225931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	184	TRUE	363373	0.100198146887665	0.648235412627241	6884	17	13000	36306000	86
20221002 225953	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	74	TRUE	363373	0.100251896367091	0.701776014176759	4043	882	14995	36515000	87
20221002 230004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	25	TRUE	363373	0.298676617187557	0.999999758443731	5840	222	13449	35884000	88
20221002 230038	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	169	TRUE	363373	0.100322273993547	0.251203581438993	4272	991	14998	36731000	89
20221002 230053	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	53	TRUE	363373	0.26955258686942	0.8573865242297	5790	617	14998	35800000	90
20221002 230110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	71	TRUE	363373	0.288139859837236	0.291192788579756	7997	547	14827	35661000	91
20221002 230121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	17	TRUE	363373	0.289458817792056	0.999852322244024	8000	352	13260	36077000	92
20221002 230141	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	96	TRUE	363373	0.153784539386619	0.999580609495193	6916	848	12979	36022000	93
20221002 230219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	228	TRUE	363373	0.101034198554798	0.202866306755959	7277	1014	11644	35554000	94
20221002 230255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	143	TRUE	363373	0.100039945902392	0.434194403427874	3980	979	14993	36351000	95
20221002 230323	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	147	TRUE	363373	0.158243050089353	0.200148867472816	6691	49	13993	36576000	96
20221002 230357	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	79	TRUE	363373	0.107706387424281	0.999915014691109	1222	979	11320	35196000	97
20221002 230428	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	181	TRUE	363373	0.100212102146918	0.659378910201788	6409	257	14993	36744000	98
20221002 230502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	100	TRUE	363373	0.103099244394083	0.437688424185789	2465	439	14995	36986000	99
20221002 230528	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	49	TRUE	363373	0.109634780028985	0.521705926824804	2075	235	12926	36945000	100
20221002 230603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	129	TRUE	363373	0.100377919165843	0.368258236879207	2596	647	13248	36156000	101
20221002 230629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	85	TRUE	363373	0.100077458511959	0.369252636275662	2436	17	14984	36513000	102
20221002 230646	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	49	TRUE	363373	0.110537028046121	0.993396315930035	7117	259	12334	35434000	103
20221002 230706	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	19	TRUE	363373	0.245795183336489	0.526848785183183	2024	229	14829	36381000	104
20221002 230721	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	42	TRUE	363373	0.20926850805809	0.654472058879148	7857	434	12627	35205000	105
20221002 230749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	50	TRUE	363373	0.100043715339518	0.544674544571342	2110	212	14816	37011000	106
