fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 235943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	791	TRUE	363373	0.00507962850304494	0.999970697168446	392	932	9065	26670000	109
20221003 000104	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	178	TRUE	363373	0.0425129110628829	0.351589365528916	7976	757	9005	25670000	110
20221003 001527	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	852	TRUE	363373	0.00509035630839246	0.728703752907645	14	320	9757	27130000	111
20221003 002001	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	224	TRUE	363373	0.0439335789778298	0.796325761493646	240	1014	8975	27090000	112
20221003 002226	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	264	TRUE	363373	0.0320730121130539	0.369115508242888	1613	769	8820	26920000	113
20221003 003906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	864	TRUE	363373	0.00504346852398008	0.593737334263895	492	229	8834	27060000	114
20221003 004007	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	363373	0.0839163617069922	0.418962416254764	2806	593	9104	26360000	115
20221003 004824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	295	TRUE	363373	0.0311617932931785	0.421130229461852	134	317	8847	26790000	116
20221003 005023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	108	TRUE	363373	0.0443863544122754	0.464084758739387	713	950	8723	26800000	117
20221003 005450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	439	TRUE	363373	0.0143991813194965	0.379116058221275	1620	478	7745	27390000	118
20221003 010412	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	234	TRUE	363373	0.0136118648098442	0.418773625772351	226	262	7934	27020000	119
20221003 010713	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	219	TRUE	363373	0.018179012978897	0.467233873253475	1506	326	7689	26710000	120
20221003 011219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	662	TRUE	363373	0.0146459320520645	0.326544524872022	2015	718	7892	27260000	121
20221003 011848	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	751	TRUE	363373	0.0103864622970181	0.293787197458551	1641	585	7744	27080000	122
